;x.0;x.1;x.2;x.3;x.4;x.5;x.6;x.7;x.8;x.9;x.10;x.11;x.12;x.13;x.14;x.20;x.17;x.18;x.19;x.16;y
38;b;27,75;0.585;y;p;cc;v;0.25;t;t;2;f;g;260.0;500;t;102,4198032;1,014527645;260000.0;f;good
39;b;54,58;9.415;u;g;ff;ff;14.415;t;t;11;t;g;30.0;300;t;204,0857849;51,59678265;30000.0;f;good
40;b;34,17;9.17;u;g;c;v;4.5;t;t;12;t;g;f;221;t;127,5595242;53,25680126;f;?;good
41;b;28,92;15.0;u;g;c;h;5.335;t;t;11;f;g;f;2283;t;111,131298;83,40092014;f;f;good
42;b;29,67;1.415;u;g;w;h;0.75;t;t;t;f;g;240.0;100;t;112,2530577;6,604351225;240000.0;f;good
43;b;39,58;13.915;u;g;w;v;8.625;t;t;6;t;g;70.0;f;t;150,1695277;79,15622019;70000.0;f;good
44;b;56,42;28.0;y;p;c;v;28.5;t;t;40;f;g;f;15;t;213,7578394;157,8885115;f;?;good
45;b;54,33;6.75;u;g;c;h;2.625;t;t;11;t;g;f;284;t;207,4324456;39,40851858;f;?;good
46;a;41;2.04;y;p;q;h;0.125;t;t;23;t;g;455.0;1236;t;154,6063653;10,40764622;455000.0;f;good
47;b;31,92;4.46;u;g;cc;h;6.04;t;t;3;f;g;311.0;300;t;122,4284342;26,03645629;311000.0;f;good
48;b;41,5;1.54;u;g;i;bb;3.5;b;f;f;f;g;216.0;f;f;158,1927485;7,470288879;216000.0;f;good
49;b;23,92;0.665;u;g;c;v;0.165;c;f;f;f;g;100.0;f;f;88,60060383;2,947588353;100000.0;f;good
50;a;25,75;0.5;u;g;c;h;0.875;t;f;f;t;g;491.0;f;t;95,94337526;3,440996572;491000.0;?;good
51;b;26;t;u;g;q;v;1.75;t;f;f;t;g;280.0;f;t;101,5596464;4,997697433;280000.0;f;good
52;b;37,42;2.04;u;g;w;v;0.04;t;f;f;t;g;400.0;5800;t;140,3831211;11,61509684;400000.0;?;good
53;b;34,92;2.5;u;g;w;v;f;t;f;f;t;g;239.0;200;t;131,0946658;14,03609657;239000.0;f;good
54;b;34,25;3.0;u;g;cc;h;7.415;t;f;f;t;g;f;f;t;129,0754031;15,75715289;f;f;good
55;b;23,33;11.625;y;p;w;v;0.835;t;f;f;t;g;160.0;300;t;89,25088716;63,77832786;160000.0;f;good
56;b;23,17;f;u;g;cc;v;0.085;t;f;f;f;g;f;f;t;91,16425277;1,194819477;f;?;good
57;b;44,33;0.5;u;g;i;h;5.0;t;f;f;t;g;320.0;f;t;166,9581163;3,443010986;320000.0;f;good
58;b;35,17;4.5;u;g;x;h;5.75;a;f;f;t;s;711.0;f;f;132,6939936;24,83805932;711000.0;f;good
59;b;43,25;3.0;u;g;q;h;6.0;t;t;11;f;g;80.0;f;t;166,3770294;17,38405174;80000.0;f;good
60;b;56,75;12.25;u;g;m;v;1.25;t;t;4;t;g;200.0;f;t;210,7516884;69,34477154;200000.0;?;good
61;b;31,67;16.165;u;g;d;v;3.0;t;t;9;f;g;250.0;730;t;122,6177786;89,44064027;250000.0;f;good
62;a;23,42;0.79;y;p;q;v;1.5;t;t;2;t;g;80.0;400;t;86,33932152;5,007132746;80000.0;f;good
63;a;20,42;0.835;u;g;q;v;1.585;t;t;t;f;g;f;f;t;75,58866026;5,467007747;f;f;good
64;b;26,67;4.25;u;g;cc;v;4.29;t;t;t;t;g;120.0;f;t;100,8420148;22,57894874;120000.0;?;good
65;b;34,17;1.54;u;g;cc;v;1.54;t;t;t;t;g;520.0;50000;t;129,6775797;7,95242916;520000.0;?;good
66;a;36;t;u;g;c;v;2.0;t;t;11;f;g;f;456;t;136,2277365;4,137923911;f;f;good
67;b;25,5;0.375;u;g;m;v;0.25;t;t;3;f;g;260.0;15108;t;95,01924631;2,345474658;260000.0;?;good
68;b;19,42;6.5;u;g;w;h;1.46;t;t;7;f;g;80.0;2954;t;74,96935406;37,04829178;80000.0;f;good
69;b;35,17;25.125;u;g;x;h;1.625;t;t;t;t;g;515.0;500;t;136,1278566;140,2224625;515000.0;?;good
70;b;32,33;7.5;u;g;e;bb;1.585;t;f;f;t;s;420.0;f;t;122,622482;42,16651393;420000.0;t;bad
71;b;34,83;4.0;u;g;d;bb;12.5;t;f;f;t;g;?;f;t;129,3830984;23,37569334;?;t;bad
72;a;38,58;5.0;u;g;cc;v;13.5;t;f;f;t;g;980.0;f;t;145,2064841;28,32495595;980000.0;t;bad
73;b;44,25;0.5;u;g;m;v;10.75;t;f;f;f;s;400.0;f;t;163,9921065;2,402334158;400000.0;?;bad
74;b;44,83;7.0;y;p;c;v;1.625;b;f;f;f;g;160.0;2;f;167,6661626;40,1043391;160000.0;t;bad
75;b;20,67;5.29;u;g;q;v;0.375;t;t;t;f;g;160.0;f;t;78,41441797;27,92658019;160000.0;t;bad
76;b;34,08;6.5;u;g;aa;v;0.125;t;f;f;t;g;443.0;f;t;130,1977224;35,66749331;443000.0;t;bad
77;a;19,17;0.585;y;p;aa;v;0.585;t;f;f;t;g;160.0;f;t;70,02382641;3,769767591;160000.0;t;bad
78;b;21,67;1.165;y;p;k;v;2.5;t;t;t;f;g;180.0;20;t;81,60987663;6,284910269;180000.0;t;bad
79;b;21,5;9.75;u;g;c;v;0.25;t;f;f;f;g;140.0;f;t;77,97901638;54,79628917;140000.0;t;bad
80;b;49,58;19.0;u;g;ff;ff;f;t;t;t;f;g;94.0;f;t;188,9491904;105,4782377;94000.0;t;bad
81;a;27,67;1.5;u;g;m;v;2.0;t;f;f;f;s;368.0;f;t;105,6384029;6,791362478;368000.0;t;bad
82;b;39,83;0.5;u;g;m;v;0.25;t;f;f;f;s;288.0;f;t;149,5951166;3,895111408;288000.0;t;bad
83;a;?;3.5;u;g;d;v;3.0;t;f;f;t;g;300.0;f;t;?;19,56315319;300000.0;?;bad
84;b;27,25;0.625;u;g;aa;v;0.455;t;f;f;t;g;200.0;f;t;102,6277774;4,704995355;200000.0;t;bad
85;b;37,17;4.0;u;g;c;bb;5.0;t;f;f;t;s;280.0;f;t;138,299318;22,81723573;280000.0;t;bad
86;b;?;0.375;u;g;d;v;0.875;t;f;f;t;s;928.0;f;t;?;1,191451441;928000.0;t;bad
87;b;25,67;2.21;y;p;aa;v;4.0;t;f;f;f;g;188.0;f;t;98,61990939;12,7529821;188000.0;?;bad
88;b;34;4.5;u;g;aa;v;t;t;f;f;t;g;240.0;f;t;129,5704003;24,9999895;240000.0;t;bad
89;a;49;1.5;u;g;j;j;f;t;f;f;t;g;100.0;27;t;184,5738365;7,026679842;100000.0;t;bad
90;b;62,5;12.75;y;p;c;h;5.0;t;f;f;f;g;112.0;f;t;233,8730313;72,63254821;112000.0;t;bad
91;b;31,42;15.5;u;g;c;v;0.5;t;f;f;f;g;120.0;f;t;117,0875935;86,66818156;120000.0;t;bad
92;b;?;5.0;y;p;aa;v;8.5;t;f;f;f;g;f;f;t;?;29,45771056;f;?;bad
93;b;52,33;1.375;y;p;c;h;9.46;t;f;f;t;g;200.0;100;t;199,614575;7,514484184;200000.0;t;bad
94;b;28,75;1.5;y;p;c;v;1.5;t;f;f;t;g;f;225;t;110,8201183;7,962852947;f;?;bad
95;a;28,58;3.54;u;g;i;bb;0.5;t;f;f;t;g;171.0;f;t;110,3668649;20,80262259;171000.0;?;bad
96;b;23;0.625;y;p;aa;v;0.125;t;f;f;f;g;180.0;t;t;84,33553741;1,976227589;180000.0;t;bad
97;b;?;0.5;u;g;c;bb;0.835;t;f;f;t;s;320.0;f;t;?;2,510348766;320000.0;t;bad
98;a;22,5;11.0;y;p;q;v;3.0;t;f;f;t;g;268.0;f;t;86,56609051;59,97401063;268000.0;?;bad
99;a;28,5;t;u;g;q;v;t;t;t;2;t;g;167.0;500;t;108,2809594;7,231971761;167000.0;t;bad
100;b;37,5;1.75;y;p;c;bb;0.25;t;f;f;t;g;164.0;400;t;140,708319;11,81179021;164000.0;t;bad
101;b;35,25;16.5;y;p;c;v;4.0;t;f;f;f;g;80.0;f;t;131,2307601;94,39380383;80000.0;t;bad
102;b;18,67;5.0;u;g;q;v;0.375;t;t;2;f;g;f;38;t;68,92113775;27,68459031;f;t;bad
103;b;25;12.0;u;g;k;v;2.25;t;t;2;t;g;120.0;5;t;93,86425317;65,54041616;120000.0;t;bad
104;b;27,83;4.0;y;p;i;h;5.75;t;t;2;t;g;75.0;f;t;105,7814521;23,18548826;75000.0;t;bad
105;b;54,83;15.5;u;g;e;z;f;t;t;20;f;g;152.0;130;t;210,2604363;87,25702844;152000.0;t;bad
106;b;28,75;1.165;u;g;k;v;0.5;t;f;f;f;s;280.0;f;t;107,5583755;4,89135659;280000.0;t;bad
107;a;25;11.0;y;p;aa;v;4.5;t;f;f;f;g;120.0;f;t;92,05821978;61,25409321;120000.0;t;bad
108;b;40,92;2.25;y;p;x;h;10.0;t;f;f;t;g;176.0;f;t;155,769629;12,21493801;176000.0;?;bad
109;a;19,75;0.75;u;g;c;v;0.795;t;t;5;t;g;140.0;5;t;74,44024962;3,840450595;140000.0;t;bad
110;b;29,17;3.5;u;g;w;v;3.5;t;t;3;t;g;329.0;f;t;108,3734486;18,60078738;329000.0;t;bad
111;a;24,5;1.04;y;p;ff;ff;0.5;t;t;3;f;g;180.0;147;t;91,07610841;7,605347462;180000.0;t;bad
112;b;24,58;12.5;u;g;w;v;0.875;t;f;f;t;g;260.0;f;t;91,05443381;70,85219725;260000.0;t;bad
113;a;33,75;0.75;u;g;k;bb;t;t;t;3;t;g;212.0;f;t;129,1704364;4,408480213;212000.0;?;bad
114;b;20,67;1.25;y;p;c;h;1.375;t;t;3;t;g;140.0;210;t;77,13856399;6,963363838;140000.0;?;bad
115;a;25,42;1.125;u;g;q;v;1.29;t;t;2;f;g;200.0;f;t;94,29989049;6,924523623;200000.0;?;bad
116;b;37,75;7.0;u;g;q;h;11.5;t;t;7;t;g;300.0;5;t;141,1866236;41,08976282;300000.0;t;bad
117;b;52,5;6.5;u;g;k;v;6.29;t;t;15;f;g;f;11202;t;200,8414027;37,49257501;f;?;good
118;b;57,83;7.04;u;g;m;v;14.0;t;t;6;t;g;360.0;1332;t;220,8489213;40,07103339;360000.0;?;good
119;a;20,75;10.335;u;g;cc;h;0.335;t;t;t;t;g;80.0;50;t;80,20874487;57,6732082;80000.0;f;good
120;b;39,92;6.21;u;g;q;v;0.04;t;t;t;f;g;200.0;300;t;150,3452796;35,66336267;200000.0;f;good
121;b;25,67;12.5;u;g;cc;v;1.21;t;t;67;t;g;140.0;258;t;92,35535754;69,68027663;140000.0;f;good
122;a;24,75;12.5;u;g;aa;v;1.5;t;t;12;t;g;120.0;567;t;93,04845062;68,96334613;120000.0;f;good
123;a;44,17;6.665;u;g;q;v;7.375;t;t;3;t;g;f;f;t;165,5335634;38,64918902;f;?;good
124;a;23,5;9.0;u;g;q;v;8.5;t;t;5;t;g;120.0;f;t;87,96988271;49,07013737;120000.0;f;good
125;b;34,92;5.0;u;g;x;h;7.5;t;t;6;t;g;f;1000;t;135,9702209;28,97829283;f;?;good
126;b;47,67;2.5;u;g;m;bb;2.5;t;t;12;t;g;410.0;2510;t;179,4557426;12,71888071;410000.0;f;good
127;b;22,75;11.0;u;g;q;v;2.5;t;t;7;t;g;100.0;809;t;86,89163231;62,03126885;100000.0;?;good
128;b;34,42;4.25;u;g;i;bb;3.25;t;t;2;f;g;274.0;610;t;130,2561297;21,71180195;274000.0;f;good
129;a;28,42;3.5;u;g;w;v;0.835;t;f;f;f;s;280.0;f;t;107,2820073;19,49047935;280000.0;f;good
130;b;67,75;5.5;u;g;e;z;13.0;t;t;t;t;g;f;f;t;256,496825;29,24014524;f;f;good
131;b;20,42;1.835;u;g;c;v;2.25;t;t;t;f;g;100.0;150;t;74,26174717;10,67288103;100000.0;f;good
132;a;47,42;8.0;u;g;e;bb;6.5;t;t;6;f;g;375.0;51100;t;178,7114397;43,78251383;375000.0;f;good
133;b;36,25;5.0;u;g;c;bb;2.5;t;t;6;f;g;f;367;t;140,591985;28,04358278;f;f;good
134;b;32,67;5.5;u;g;q;h;5.5;t;t;12;t;g;408.0;1000;t;125,4369745;30,43434566;408000.0;?;good
135;b;48,58;6.5;u;g;q;h;6.0;t;f;f;t;g;350.0;f;t;183,2290102;37,08885932;350000.0;f;good
136;b;39,92;0.54;y;p;aa;v;0.5;t;t;3;f;g;200.0;1000;t;149,0229347;3,166100946;200000.0;f;good
137;b;33,58;2.75;u;g;m;v;4.25;t;t;6;f;g;204.0;f;t;127,3322028;14,67275289;204000.0;?;good
138;a;18,83;9.5;u;g;w;v;1.625;t;t;6;t;g;40.0;600;t;70,59386124;53,86657731;40000.0;?;good
139;a;26,92;13.5;u;g;q;h;5.0;t;t;2;f;g;f;5000;t;103,3365486;77,42511685;f;f;good
140;a;31,25;3.75;u;g;cc;h;0.625;t;t;9;t;g;181.0;f;t;114,7817501;19,81596346;181000.0;?;good
141;a;56,5;16.0;u;g;j;ff;f;t;t;15;f;g;f;247;t;215,3822668;89,03659908;f;f;good
142;b;43;0.29;y;p;cc;h;1.75;t;t;8;f;g;100.0;375;t;163,0735902;1,978388156;100000.0;f;good
143;b;22,33;11.0;u;g;w;v;2.0;t;t;t;f;g;80.0;278;t;83,02973229;61,92615625;80000.0;?;good
144;b;27,25;1.665;u;g;cc;h;5.085;t;t;9;f;g;399.0;827;t;103,1275726;10,84876038;399000.0;f;good
145;b;32,83;2.5;u;g;cc;h;2.75;t;t;6;f;g;160.0;2072;t;123,8594658;13,02908846;160000.0;f;good
146;b;23,25;1.5;u;g;q;v;2.375;t;t;3;t;g;f;582;t;87,44878913;8,890198728;f;f;good
147;a;40,33;7.54;y;p;q;h;8.0;t;t;14;f;g;f;2300;t;150,2122418;42,00525002;f;f;good
148;a;30,5;6.5;u;g;c;bb;4.0;t;t;7;t;g;f;3065;t;115,5878875;37,35598082;f;f;good
149;a;52,83;15.0;u;g;c;v;5.5;t;t;14;f;g;f;2200;t;198,1865226;84,52708164;f;f;good
150;a;46,67;0.46;u;g;cc;h;0.415;t;t;11;t;g;440.0;6;t;174,3666723;2,67751245;440000.0;?;good
151;a;58,33;10.0;u;g;q;v;4.0;t;t;14;f;g;f;1602;t;220,4438209;53,40828488;f;f;good
152;b;37,33;6.5;u;g;m;h;4.25;t;t;12;t;g;93.0;f;t;138,3787739;36,09441918;93000.0;f;good
153;b;23,08;2.5;u;g;c;v;1.085;t;t;11;t;g;60.0;2184;t;85,98802018;13,23465219;60000.0;f;good
154;b;32,75;1.5;u;g;cc;h;5.5;t;t;3;t;g;f;f;t;126,2901639;7,10712142;f;f;good
155;a;21,67;11.5;y;p;j;j;f;t;t;11;t;g;f;f;t;80,56016735;63,20439123;f;?;good
156;a;28,5;3.04;y;p;x;h;2.54;t;t;t;f;g;70.0;f;t;104,8851284;15,47103448;70000.0;?;good
157;a;68,67;15.0;u;g;e;z;f;t;t;14;f;g;f;3376;t;259,9408943;81,98861282;f;f;good
158;b;28;2.0;u;g;k;h;4.165;t;t;2;t;g;181.0;f;t;107,5762054;11,61233555;181000.0;f;good
159;b;34,08;0.08;y;p;m;bb;0.04;t;t;t;t;g;280.0;2000;t;127,3060547;1,456704347;280000.0;?;good
160;b;27,67;2.0;u;g;x;h;t;t;t;4;f;g;140.0;7544;t;103,5707906;11,71237778;140000.0;f;good
161;b;44;2.0;u;g;m;v;1.75;t;t;2;t;g;f;15;t;167,1004851;11,10464483;f;f;good
162;b;25,08;1.71;u;g;x;v;1.665;t;t;t;t;g;395.0;20;t;91,60435899;9,248474863;395000.0;f;good
163;b;32;1.75;y;p;e;h;0.04;t;f;f;t;g;393.0;f;t;123,4336945;9,021971381;393000.0;f;good
164;a;60,58;16.5;u;g;q;v;11.0;t;f;f;t;g;21.0;10561;t;230,3403224;93,52989342;21000.0;f;good
165;a;40,83;10.0;u;g;q;h;1.75;t;f;f;f;g;29.0;837;t;152,6405052;55,30930451;29000.0;?;good
166;b;19,33;9.5;u;g;q;v;t;t;f;f;t;g;60.0;400;t;71,16385163;53,43242762;60000.0;f;good
167;a;32,33;0.54;u;g;cc;v;0.04;t;f;f;f;g;440.0;11177;t;123,5409482;4,276533344;440000.0;f;good
168;b;36,67;3.25;u;g;q;h;9.0;t;f;f;t;g;102.0;639;t;137,2050398;18,72278355;102000.0;f;good
169;b;37,5;1.125;y;p;d;v;1.5;a;f;f;t;g;431.0;f;f;142,7128289;5,502009139;431000.0;f;good
170;a;25,08;2.54;y;p;aa;v;0.25;t;f;f;t;g;370.0;f;t;93,39237156;13,42583142;370000.0;?;good
171;b;41,33;f;u;g;c;bb;15.0;t;f;f;f;g;f;f;t;156,8120652;1,222436794;f;f;good
172;b;56;12.5;u;g;k;h;8.0;t;f;f;t;g;24.0;2028;t;209,0427104;70,05543362;24000.0;?;good
173;a;49,83;13.585;u;g;k;h;8.5;t;f;f;t;g;f;f;t;187,8914555;77,05855369;f;f;good
174;b;22,67;10.5;u;g;q;h;1.335;t;f;f;f;g;100.0;f;t;84,5492058;58,87378419;100000.0;?;good
175;b;27;1.5;y;p;w;v;0.375;t;f;f;t;g;260.0;1065;t;99,97902876;8,317887874;260000.0;f;good
176;b;25;12.5;u;g;aa;v;3.0;t;f;f;t;s;20.0;f;t;94,15118376;70,13171065;20000.0;f;good
177;a;26,08;8.665;u;g;aa;v;1.415;t;f;f;f;g;160.0;150;t;97,36498225;47,08881792;160000.0;?;good
178;a;18,42;9.25;u;g;q;v;1.21;t;t;4;f;g;60.0;540;t;74,23175297;51,15756979;60000.0;f;good
179;b;20,17;8.17;u;g;aa;v;1.96;t;t;14;f;g;60.0;158;t;78,86795447;45,29747193;60000.0;f;good
180;b;47,67;0.29;u;g;c;bb;15.0;t;t;20;f;g;f;15000;t;177,4623247;1,22141391;f;f;good
181;a;21,25;2.335;u;g;i;bb;0.5;t;t;4;f;s;80.0;f;t;77,90332304;13,88018748;80000.0;f;good
182;a;20,67;3.0;u;g;q;v;0.165;t;t;3;f;g;100.0;6;t;80,12823972;16,81935281;100000.0;f;good
183;a;57,08;19.5;u;g;c;v;5.5;t;t;7;f;g;f;3000;t;217,1718806;108,5997768;f;f;good
184;a;22,42;5.665;u;g;q;v;2.585;t;t;7;f;g;129.0;3257;t;85,33086557;31,81332213;129000.0;f;good
185;b;48,75;8.5;u;g;c;h;12.5;t;t;9;f;g;181.0;1655;t;182,714688;48,56414696;181000.0;?;good
186;b;40;6.5;u;g;aa;bb;3.5;t;t;t;f;g;f;500;t;151,7971003;36,45798949;f;f;good
187;b;40,58;5.0;u;g;c;v;5.0;t;t;7;f;g;f;3065;t;155,2037987;27,79798122;f;?;good
188;a;28,67;1.04;u;g;c;v;2.5;t;t;5;t;g;300.0;1430;t;108,1737864;7,493867821;300000.0;f;good
189;a;33,08;4.625;u;g;q;h;1.625;t;t;2;f;g;f;f;t;126,5349078;24,22093921;f;f;good
190;b;21,33;10.5;u;g;c;v;3.0;t;f;f;t;g;f;f;t;82,08646602;59,23722356;f;f;good
191;b;42;0.205;u;g;i;h;5.125;t;f;f;f;g;400.0;f;t;160,3047606;1,146294445;400000.0;f;good
192;b;41,75;0.96;u;g;x;v;2.5;t;f;f;f;g;510.0;600;t;158,1571829;5,843791547;510000.0;f;good
193;b;22,67;1.585;y;p;w;v;3.085;t;t;6;f;g;80.0;f;t;84,07003105;7,798114974;80000.0;f;good
194;b;34,5;4.04;y;p;i;bb;8.5;t;t;7;t;g;195.0;f;t;132,445487;23,4754705;195000.0;f;good
195;b;28,25;5.04;y;p;c;bb;1.5;t;t;8;t;g;144.0;7;t;109,5354315;27,88597604;144000.0;f;good
196;b;33,17;3.165;y;p;x;v;3.165;t;t;3;t;g;380.0;f;t;127,5914427;16,58130582;380000.0;?;good
197;b;48,17;7.625;u;g;w;h;15.5;t;t;12;f;g;f;790;t;179,9460929;43,14893989;f;?;good
198;b;27,58;2.04;y;p;aa;v;2.0;t;t;3;t;g;370.0;560;t;103,7391151;12,70925434;370000.0;f;good
199;b;22,58;10.04;u;g;x;v;0.04;t;t;9;f;g;60.0;396;t;84,95009418;57,70398065;60000.0;?;good
200;a;24,08;0.5;u;g;q;h;1.25;t;t;t;f;g;f;678;t;92,74793817;3,264361774;f;f;good
201;a;41,33;t;u;g;i;bb;2.25;t;f;f;t;g;f;300;t;156,5771077;4,704681605;f;?;good
202;b;24,83;2.75;u;g;c;v;2.25;t;t;6;f;g;?;600;t;91,1501508;16,9903815;?;f;good
203;a;20,75;10.25;u;g;q;v;0.71;t;t;2;t;g;49.0;f;t;76,95618101;59,07503193;49000.0;?;good
204;b;36,33;2.125;y;p;w;v;0.085;t;t;t;f;g;50.0;1187;t;138,6876675;11,07716799;50000.0;?;good
205;a;35,42;12.0;u;g;q;h;14.0;t;t;8;f;g;f;6590;t;133,5434045;68,07000376;f;f;good
206;a;71,58;f;?;?;?;?;f;a;f;f;f;p;?;f;f;273,1107166;0,713278953;?;f;good
207;b;28,67;9.335;u;g;q;h;5.665;t;t;6;f;g;381.0;168;t;108,9258591;52,51724107;381000.0;f;good
208;b;35,17;2.5;u;g;k;v;4.5;t;t;7;f;g;150.0;1270;t;131,0130388;14,27416308;150000.0;f;good
209;b;39,5;4.25;u;g;c;bb;6.5;t;t;16;f;g;117.0;1210;t;149,6296172;24,50559062;117000.0;f;good
210;b;39,33;5.875;u;g;cc;h;10.0;t;t;14;t;g;399.0;f;t;148,3979041;32,24694782;399000.0;f;good
211;b;24,33;6.625;y;p;d;v;5.5;t;f;f;t;s;100.0;f;t;94,6690574;36,88394379;100000.0;f;good
212;b;60,08;14.5;u;g;ff;ff;18.0;t;t;15;t;g;f;1000;t;229,6233013;79,85251743;f;f;good
213;b;23,08;11.5;u;g;i;v;3.5;t;t;9;f;g;56.0;742;t;91,31205144;65,07993743;56000.0;f;good
214;b;26,67;2.71;y;p;cc;v;5.25;t;t;t;f;g;211.0;f;t;100,9001384;13,79642523;211000.0;f;good
215;b;48,17;3.5;u;g;aa;v;3.5;t;f;f;f;s;230.0;f;t;179,372996;22,69180346;230000.0;f;good
216;b;41,17;4.04;u;g;cc;h;7.0;t;t;8;f;g;320.0;f;t;153,7676556;22,08807222;320000.0;f;good
217;b;55,92;11.5;u;g;ff;ff;5.0;t;t;5;f;g;f;8851;t;211,603228;64,22885615;f;f;good
218;b;53,92;9.625;u;g;e;v;8.665;t;t;5;f;g;f;f;t;204,4396463;52,6641007;f;f;good
219;a;18,92;9.25;y;p;c;v;t;t;t;4;t;g;80.0;500;t;76,61905108;51,15643889;80000.0;f;good
220;a;50,08;12.54;u;g;aa;v;2.29;t;t;3;t;g;156.0;f;t;189,1274951;71,54738479;156000.0;f;good
221;b;65,42;11.0;u;g;e;z;20.0;t;t;7;t;g;22.0;f;t;243,7269588;62,18902213;22000.0;f;good
222;a;17,58;9.0;u;g;aa;v;1.375;t;f;f;t;g;f;f;t;64,34111578;51,15113502;f;?;good
